id,data_reclamacao,canal,texto_reclamacao,produto,status,categoria_oculta_gabarito
REC-2026-00001,2026-02-28,Ouvidoria,"Ouvidoria, pelo amor de Deus, eu não sei mais o que fazer! Eu estou com o coração na mão, desesperado mesmo. Eu não sou de ficar reclamando, não, mas a situação está feia e eu não sei para quem mais pedir ajuda.

Olha, esses dias, eu recebi uma ligação no meu telefone fixo. A pessoa do outro lado, uma moça muito educada, disse que era do banco. Ela falou que tinha uma compra estranha no meu cartão de crédito, que eu nunca fiz. Uma compra alta, dessas de loja de eletrônico, sabe? Ela falou que era para eu não me preocupar, que eles iam resolver, mas que precisava da minha ajuda para ""confirmar uns dados"" e ""cancelar a compra errada"".

Eu, na minha inocência, pensei: ""Poxa, que bom que o banco está me avisando!"". Eu não sou muito bom com essas coisas de internet e aplicativo de banco, então achei que era o jeito certo de fazer. A moça falava tão direitinho, parecia mesmo do banco. Ela me pediu para confirmar uns números do cartão, não o número todo, mas uns pedacinhos, e um código que tem atrás. Eu fiquei um pouco inseguro, mas ela insistiu que era para minha segurança, para bloquear o gasto que não era meu. Ela me garantiu que era tudo sigiloso e que ninguém ia ter acesso a nada.

Depois de uns dias, meu Deus do céu, quando fui olhar a fatura do cartão, veio umas compras que eu não fiz! Não foi só aquela que a moça falou, foram outras! Umas em lojas que eu nunca pisei, umas coisas que eu nem sei o que são. O valor está altíssimo! Eu quase caí para trás quando vi. Eu não sei como isso aconteceu, eu juro que fiz tudo que a moça do banco pediu para *resolver* o problema, não para criar mais um.

Eu tentei ligar para o banco, para aquele número que vem atrás do cartão, sabe? Mas é uma complicação danada! Aperta um, aperta dois, a musiquinha não para. Eu fico horas e horas no telefone e não consigo falar com ninguém que entenda o meu problema de verdade. Aqueles atendimentos automáticos só me deixam mais confuso e nervoso. Eu não sou um garoto para entender tudo isso. Eu só queria meu dinheiro de volta, ou pelo menos que parassem de cobrar essas coisas que não comprei. Eu sou aposentado, meu dinheiro é contadinho, não posso ficar com esse prejuízo!

Eu estou com tanto medo, Ouvidoria. Com medo de usarem meu nome, de fazerem mais dívidas, de eu não conseguir pagar. Eu não sei mais o que fazer, a quem recorrer. Vocês são minha última esperança. Por favor, me ajudem a entender o que aconteceu e a resolver essa bagunça no meu cartão. Eu só quero que essa confusão pare e que meu dinheiro não seja perdido. Por favor, me digam o que eu tenho que fazer. Eu preciso de ajuda, de verdade.",Cartão de Crédito,Em análise,Fraude/Segurança
REC-2026-00002,2026-12-13,Redes Sociais,"A paciência se esgotou. É com um misto de revolta e absoluta incredulidade que me dirijo a este canal público para denunciar a conduta absolutamente inaceitável e, francamente, vexatória desta instituição. Não se trata de um mero erro isolado; é um padrão de desrespeito e negligência que já ultrapassou todos os limites do tolerável e que clama por uma resolução imediata.

Há meses, para ser preciso, desde o início de março deste ano, tenho sido importunado por uma série de cobranças indevidas que surgem, de forma persistente e injustificada, em meu extrato. O detalhe crucial, e que torna a situação ainda mais absurda, é que *não possuo nenhum produto ativo, absolutamente nenhum serviço contratado* que justifique sequer um único centavo desses débitos. Após um encerramento formal e completo de todas as minhas relações comerciais com a empresa, imaginei que estaria finalmente livre de qualquer vínculo. Que ingenuidade a minha! Em vez disso, fui brindado com uma sequência de débitos referentes a supostas ""taxas de manutenção de cadastro"" ou ""serviços administrativos"" que sequer consigo identificar a que se referem.

Inúmeras, e repito, *inúmeras* foram as tentativas de resolução desta aberração. Foram seis ligações para o serviço de atendimento ao cliente, cada uma delas resultando em promessas vazias de ""análise da situação"" ou ""estorno em até X dias úteis"", que, evidentemente, nunca se concretizaram. Tenho cinco protocolos de atendimento anotados, com datas e nomes dos atendentes que, em sua maioria, demonstraram total despreparo para lidar com o problema ou, o que é ainda pior, um descaso inadmissível com a gravidade da situação. Enviei e-mails detalhados, utilizei o chat online e, ainda assim, a resposta é sempre a mesma: inércia, evasivas ou a promessa de um retorno que jamais acontece. Cada contato é um novo calvário, um desgaste emocional e de tempo que esta instituição se recusa a ressarcir.

É inconcebível que, em pleno século XXI, uma empresa do porte de vocês persista em cobrar por algo que simplesmente não existe, ignorando sumariamente as solicitações claras e repetidas de seus ex-clientes. Esta conduta não é apenas um transtorno; é um ilícito consumerista flagrante, uma apropriação indébita de valores que me pertencem, e uma afronta direta aos direitos mais básicos e inalienáveis do consumidor. A inércia e a recalcitrância de vocês em resolver um problema tão simples me forçam a questionar a integridade dos processos internos e, sobretudo, a ética por trás de tais práticas. A competência para gerir o mínimo, que é a cessação de cobranças sem lastro, parece inexistente.

Deixo claro que a paciência já se exauriu por completo. Não estou mais disposto a gastar um minuto sequer do meu tempo em tentativas infrutíferas de contato pelos canais convencionais. O presente comunicado serve como o registro derradeiro de minha insatisfação e uma advertência formal e irrefutável: exijo a IMEDIATA cessação de todas e quaisquer cobranças indevidas, o estorno INTEGRAL e corrigido de todos os valores já debitados de forma abusiva e uma retratação formal pela inconveniência, pelo transtorno e pelos danos morais e materiais causados.

A falha em resolver esta situação de forma URGENTE e definitiva, com comprovação inequívoca das providências tomadas, levará à adoção de todas as medidas cabíveis para a plena reparação dos meus direitos e dos prejuízos incorridos. Não hesitaremos em prosseguir com as diligências necessárias para que esta instituição seja devidamente responsabilizada por sua conduta negligente e abusiva. A bola está no campo de vocês, e o tempo para agir está se esgotando rapidamente. Este é o último aviso antes de outras instâncias serem acionadas.",,Em análise,Cobrança Indevida
REC-2026-00003,2026-12-20,Ouvidoria,Pq tá vindo cobrança de empréstimo q não fiz? Resolvam logo isso.,Empréstimo,Aberta,Cobrança Indevida
REC-2026-00004,2026-10-17,SAC,"Ai, sac, tô desesperada! Tão me cobrando um dinheiro errado na minha conta, não sei o que fazer, me ajuda pelo amor de Deus!",Conta Corrente,Em análise,Cobrança Indevida
REC-2026-00005,2026-09-17,Banco Central,"Banco Central, vocês precisam olhar isso direito! É um absurdo o que esses bancos fazem com a gente que precisa de um empréstimo. Eles vendem uma coisa, mas na hora de pagar as taxas aparecem do nada, um monte de coisa que não explicam direito. Isso é só pra enganar o trabalhador e vocês não fazem nada?",Empréstimo,Aberta,Produto/Serviço
REC-2026-00006,2026-07-05,Redes Sociais,"Atenção, FinanMais S.A. Esta não é uma mera reclamação de cliente insatisfeito. É uma notificação pública, redigida por um profissional, expondo a conduta de sua instituição. Represento a Sra. Marta Ribeiro, cidadã que, como tantos outros, confiou em sua promessa de um serviço bancário transparente e eficiente, apenas para ser confrontada com uma sequência de eventos que beira o abuso e a má-fé.

No dia 14 de março do corrente ano, minha cliente foi abordada com uma oferta de cartão de crédito que prometia condições específicas: anuidade zero para sempre e um limite de crédito inicial de R$ 5.000,00, tudo isso veiculado por meio de um anúncio em sua própria plataforma digital e confirmado por um de seus prepostos no atendimento via chat. A Sra. Ribeiro, confiando na reputação que vocês arduamente tentam construir, aceitou a proposta, com a convicção de que os termos seriam rigorosamente cumpridos.

Ocorre que, para sua surpresa e desapontamento, após a aprovação e recebimento físico do cartão, as condições acordadas foram sumariamente desconsideradas. A primeira fatura apresentou uma cobrança de anuidade no valor de R$ 35,00, contrariando explicitamente a promessa de anuidade zero. Além disso, o limite de crédito disponibilizado foi de apenas R$ 1.500,00, uma discrepância inaceitável em relação ao valor ofertado inicialmente e um claro indício de publicidade enganosa.

Imediatamente, a Sra. Ribeiro tentou resolver a questão pelos canais de atendimento que vocês disponibilizam. Foram nada menos que cinco tentativas, com os protocolos de atendimento [inventar um número, ex: 20240315-001, 20240315-002, 20240316-001, 20240318-001, 20240320-001], estendendo-se pelos dias 15, 16, 18 e 20 de março. Em todas as ocasiões, a resposta foi evasiva, os atendentes se mostraram despreparados e a cada contato um novo prazo era prometido para a ""análise"" da situação, prazo este que nunca foi cumprido, tampouco gerou qualquer resolução efetiva. A cobrança da anuidade permaneceu, e o limite de crédito prometido nunca foi restabelecido, forçando minha cliente a um endividamento desnecessário ou à inviabilidade de uso do cartão para suas necessidades prementes.

Este comportamento não é apenas uma falha operacional; é uma demonstração de desrespeito flagrante ao consumidor, uma violação dos princípios de boa-fé contratual e uma prática que mina a confiança de quem opta por seus serviços. A Sra. Marta Ribeiro não apenas teve suas expectativas frustradas, mas foi submetida a um desgaste emocional e perda de tempo incalculáveis tentando corrigir um erro que é de responsabilidade exclusiva de sua empresa.

Informo-lhes, de forma inequívoca, que esta situação não será tolerada. Exijo, em nome de minha cliente, a imediata retificação de todas as condições do cartão de crédito para que correspondam exatamente ao que foi ofertado e prometido, incluindo o estorno integral da anuidade cobrada indevidamente e a readequação do limite de crédito. Exijo também uma retratação formal e um plano de ação claro para evitar que outros consumidores sejam lesados por práticas semelhantes.

Não se enganem. Esta exposição nas redes sociais é apenas o primeiro passo. A Sra. Ribeiro e eu estamos preparados para escalar este caso por todas as vias cabíveis, garantindo que a FinanMais S.A. seja responsabilizada por sua conduta e que sua reputação pública reflita a qualidade real de seus serviços e o tratamento dispensado a seus clientes. A inércia ou a recusa em resolver esta questão de forma rápida e justa resultará em consequências muito mais amplas do que uma simples má avaliação em um site de reclamações.",Cartão de Crédito,Resolvida,Produto/Serviço
REC-2026-00007,2026-05-19,Redes Sociais,"Ô, vcs aí, qual é a fita de cancelar minha conta corrente assim, do nada? Num tô entendendo é nada, isso tá me atrapalhando demais e é uma zoeira. Quero uma explicação e que resolvam essa treta logo, sem caô!",Conta Corrente,Em análise,Cancelamento
REC-2026-00008,2026-06-15,Ouvidoria,Escrevo para registrar uma reclamação formal referente a uma cobrança indevida em meu cartão de crédito. O valor em questão não é reconhecido por mim e exige imediata apuração. Solicito o estorno integral do montante e a regularização de meu extrato com a máxima urgência.,Cartão de Crédito,Aberta,Cobrança Indevida
REC-2026-00009,2026-10-19,Redes Sociais,Reclamo formalmente da qualidade do atendimento recebido para meu cartão de crédito. As interações foram ineficazes e a questão permanece sem resolução. Espero uma solução célere para a situação.,Cartão de Crédito,Em análise,Atendimento
REC-2026-00010,2026-04-19,Banco Central,"Banco Central, eu simplesmente não consigo acreditar no absurdo que estou passando com o Banco Capital S.A. Isso é um escândalo, uma afronta ao cliente, e eu me recuso a aceitar. Eu, Augusto Valério, sou cliente *há décadas* desse banco, e não um cliente qualquer, ok? Meu gerente de relacionamento sabe muito bem quem eu sou, o volume de transações que eu faço, os investimentos que mantenho lá. Eu sou um cliente VIP, daqueles que o banco *deveria* tratar com a máxima prioridade e respeito.

E o que acontece? Eles me jogam uma cobrança indevida na conta corrente! Uma taxa de ""serviços de manutenção"" no valor de R$ 350,00, lançada no dia 15 de maio, sem aviso, sem justificativa, sem *nada*. Minha conta é uma conta de relacionamento de alta performance, com isenção total de taxas por contrato, por volume de aplicações! Isso é uma piada de mau gosto? Eles estão testando minha paciência ou a minha inteligência? Já tive que perder meu tempo precioso tentando resolver essa palhaçada. Falei com minha gerente, a Sra. Roberta, que até então era super solícita. Agora parece que a prioridade dela é outra. Me deu um monte de desculpas esfarrapadas e não resolveu nada! Depois me jogou para o atendimento geral, para o SAC, como se eu fosse um cliente comum, desses que ligam para reclamar de tarifa de saque. É um desrespeito total!

A questão não são os R$ 350,00 em si, claro que não. Meu patrimônio não se abala com isso. A questão é o princípio! É a falta de ética, a tentativa de me extorquir, de me passar para trás, a um cliente da minha importância. Onde está a segurança? Onde está a confiabilidade de uma instituição que age assim com seus melhores clientes? Isso me causa um transtorno gigantesco. Tive que revisar extratos, ligar, esperar, me estressar. Eu tenho coisas muito mais importantes para fazer do que ficar caçando cobranças indevidas do meu banco! Minha agenda é apertada, meu tempo é valioso.

Eu estou desesperado por uma intervenção. Eu conto com o Banco Central para colocar um freio nessa irresponsabilidade. Eu não vou aceitar essa cobrança. Já avisei meus advogados. Se isso não for resolvido imediatamente, e por ""imediatamente"" eu quero dizer *agora*, sem mais enrolação, o Banco Capital S.A. vai ter que lidar com as consequências legais. Eu levarei isso ao Procon, abrirei um processo judicial que fará com que esses R$ 350,00 pareçam troco de bala. Tenho os recursos e a determinação para ir até o fim, e farei questão de que meu caso sirva de exemplo para que outros clientes VIP como eu não sejam desrespeitados dessa maneira. Eu preciso que o Banco Central me ajude a fazer justiça e a mostrar a essa gente que eles não podem fazer o que quiserem com o dinheiro e a confiança de seus clientes. É pedir muito por um tratamento justo e de acordo com o meu status? Eu exijo uma solução definitiva e uma retratação imediata.",Conta Corrente,Em análise,Cobrança Indevida
